QuestionType;Question;QuestionID;Answer_Participant_id1_condition_A
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Lloid;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Lloid;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Lloid;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Atlas;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Atlas;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Atlas;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Duchess;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Duchess;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Duchess;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Katie;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Katie;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Katie;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Gettie;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Gettie;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Gettie;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_remy;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_remy;2
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_remy;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_minitrileglv1galaxy;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_minitrileglv1galaxy;1
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_minitrileglv1galaxy;1
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_MedicBot;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_MedicBot;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_MedicBot;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Eyebot;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Eyebot;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Eyebot;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Freddy;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Freddy;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Freddy;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_MixamoGirl;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_MixamoGirl;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_MixamoGirl;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_link;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_link;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_link;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_Zombiegirl;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_Zombiegirl;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_Zombiegirl;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_ACPC_Alice;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_ACPC_Alice;5
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_ACPC_Alice;3
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_ACPC_Ribbot;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_ACPC_Ribbot;1
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_ACPC_Ribbot;1
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Turret;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Turret;1
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Turret;1

